Message,Label
Upgrade to premium now and enjoy unlimited benefits!,spam
Could you please review the attached document?,ham
Claim your free Amazon gift card now!,spam
Don’t miss the webinar on leadership skills tomorrow.,ham
Amazing deals on home appliances! Click here to explore.,spam
Let me know if you need any additional details for the project.,ham
Limited stock available! Grab your deal now.,spam
Reminder: Please submit your timesheet by end of day.,ham
Your PayPal account has been flagged. Resolve the issue immediately.,spam
Thanks for joining us at the conference last week!,ham
Your account is eligible for an upgrade. Click here to proceed.,spam
Don’t forget about our coffee meeting tomorrow at 9 AM.,ham
Final reminder: Your gift card will expire soon.,spam
Thank you for your payment. Your receipt is attached.,ham
Free subscription offer! Sign up within 24 hours to claim.,spam
Your package is delayed due to unforeseen circumstances.,ham
Redeem your $50 cashback now! Offer valid only today.,spam
Can we discuss the project roadmap in today’s call?,ham
Win a free vacation for two by completing this survey!,spam
Meeting rescheduled to 4 PM. Please confirm.,ham
Get exclusive deals on flights. Book before midnight.,spam
Your feedback is highly appreciated. Thank you!,ham
Hot sale! Up to 70% off on your favorite brands.,spam
Let’s finalize the contract details in our next call.,ham
You’ve been selected to win a luxury watch! Claim now.,spam
Did you complete the monthly report?,ham
This is your last chance to save 50% on our premium plans.,spam
Are we still on for the client presentation tomorrow?,ham
Your mobile number has been randomly selected to win a cash prize!,spam
Thanks for your help in yesterday’s meeting.,ham
Your order has been successfully placed.,ham
Act now and get a free trial for 30 days!,spam
Please find attached the final draft of the document.,ham
Special offer: Get 3 months free with every yearly subscription.,spam
Can you confirm the availability of the venue for the event?,ham
80% off on all electronics! Sale ends tonight.,spam
Your delivery is scheduled for tomorrow.,ham
We are giving away free gift cards to our loyal customers.,spam
Please approve the attached invoice at your earliest convenience.,ham
Important: Verify your bank details to avoid account suspension.,spam
Just checking if you’re available for a quick chat.,ham
Congratulations! You’ve earned a free Starbucks coupon.,spam
Can you resend the email? I couldn’t find the attachment.,ham
Win a free car by entering our lucky draw contest.,spam
Let’s meet at the cafeteria in 10 minutes.,ham
Sign up today and get exclusive access to premium courses.,spam
Here’s the link to join the video conference.,ham
Limited time offer: Free shipping on all orders above $50.,spam
Your leave request has been approved.,ham
Unlock your credit score report for free.,spam
Thanks for your patience while we resolved the issue.,ham
Double your income in just one month! Click to find out how.,spam
Please RSVP for the team lunch next Friday.,ham
Urgent: Reset your password to secure your account.,spam
Thanks for letting me know. I’ll get back to you soon.,ham
Earn cashback rewards on every purchase.,spam
Meeting location has been updated. Please check your email.,ham
Your loan application has been approved!,spam
Big discounts on hotel bookings. Plan your vacation now!,spam
Just a quick reminder: Project deadline is approaching.,ham
Claim your free trial now and enjoy premium features.,spam
Thanks for your input on the presentation.,ham
Your credit card has been charged $500. Contact us if this wasn’t you.,spam
Let’s connect over lunch next week.,ham
Massive clearance sale: Up to 90% off on selected items!,spam
Your flight itinerary has been confirmed.,ham
Exclusive offer for first-time users: 30% off on all services.,spam
Reminder: Submit your project proposal by Friday.,ham
"You are pre-approved for a credit card with a $10,000 limit.",spam
Could you please review the report before the meeting?,ham
Enjoy 50% off on your favorite restaurants this weekend!,spam
Are we all set for tomorrow’s event?,ham
Important: Update your billing information immediately.,spam
Thanks for sharing the meeting minutes.,ham
Congratulations! You’ve been shortlisted for our scholarship program.,spam
I’ll call you later to discuss the details.,ham
Free download: Get our latest eBook on productivity hacks.,spam
Please let me know if you need any changes in the design.,ham
"Buy 1, get 1 free on all items! Offer valid today only.",spam
Reminder: Team meeting scheduled for tomorrow at 11 AM.,ham
Complete your profile and get $20 in rewards.,spam
